iter	RMSE
0	236027.154
1	232964.0922
2	229848.5134
3	226687.4001
4	223727.7867
5	221144.8463
6	218368.847
7	216070.2942
8	213447.6146
9	210975.3493
10	208520.5574
11	206193.401
12	203890.4177
13	201583.5044
14	199340.24
15	197342.8862
16	195725.2402
17	193857.8666
18	192071.1024
19	190383.6765
20	188802.181
21	187416.538
22	185790.0405
23	184266.0796
24	182706.7365
25	181512.4354
26	180298.243
27	178783.5379
28	177466.9866
29	176183.1212
30	174949.8555
31	173702.3016
32	172558.2646
33	171582.9637
34	170496.4677
35	169348.6347
36	168311.228
37	167505.659
38	166680.7977
39	165811.6435
40	164869.7117
41	164031.8484
42	163120.3922
43	162313.8168
44	161443.6892
45	160734.2153
46	160096.9529
47	159449.7231
48	158777.4309
49	158211.499
50	157549.5841
51	156996.7311
52	156363.6084
53	155718.0226
54	155095.9641
55	154525.7236
56	154049.6291
57	153513.8715
58	152908.0244
59	152473.4969
60	152030.4771
61	151502.731
62	151072.7344
63	150650.908
64	150284.5961
65	149931.9325
66	149536.0673
67	149115.1512
68	148774.6239
69	148427.8682
70	148051.2191
71	147703.0897
72	147390.1352
73	147052.0923
74	146696.8166
75	146458.6885
76	146191.957
77	145894.3989
78	145649.2738
79	145384.3342
80	145084.0363
81	144817.1942
82	144597.8389
83	144305.5921
84	144063.0732
85	143856.9759
86	143659.908
87	143482.7005
88	143286.0536
89	143067.6118
90	142752.6948
91	142498.2403
92	142307.5428
93	142067.8739
94	141805.3579
95	141623.3766
96	141424.0745
97	141164.09
98	140980.0783
99	140755.5014
100	140532.6329
101	140290.2373
102	140081.2752
103	139916.248
104	139711.7476
105	139539.2803
106	139428.2185
107	139327.6726
108	139141.5134
109	139002.6151
110	138876.3554
111	138730.2731
112	138545.9044
113	138419.6679
114	138317.7258
115	138164.3711
116	137996.6465
117	137863.7219
118	137754.0261
119	137660.1158
120	137489.1141
121	137327.6051
122	137205.0241
123	137093.8154
124	136958.5306
125	136806.5489
126	136679.8967
127	136576.2253
128	136435.4883
129	136310.4092
130	136221.9704
131	136125.1017
132	136021.8005
133	135889.4882
134	135777.0158
135	135677.2566
136	135553.2689
137	135439.182
138	135338.881
139	135201.4214
140	135110.0685
141	135032.0829
142	134885.7085
143	134770.588
144	134684.6766
145	134594.0619
146	134472.2412
147	134354.874
148	134271.9952
149	134152.3369
150	134075.8876
151	133979.1626
152	133843.0596
153	133751.6747
154	133634.787
155	133564.8179
156	133533.9896
157	133482.0672
158	133388.22
159	133294.5867
160	133175.6665
161	133101.0729
162	132993.5426
163	132860.657
164	132788.2229
165	132681.741
166	132615.6905
167	132550.1825
168	132428.4989
169	132298.8937
170	132246.8851
171	132178.1661
172	132074.7637
173	131912.5004
174	131879.5188
175	131737.1332
176	131703.6237
177	131646.2508
178	131591.2121
179	131529.7477
180	131461.0543
181	131348.834
182	131281.2241
183	131150.6198
184	131066.9305
185	131002.715
186	130937.8693
187	130846.7833
188	130787.0803
189	130735.8481
190	130671.8948
191	130572.576
192	130440.4443
193	130326.5435
194	130275.3648
195	130218.9144
196	130149.9688
197	130110.4804
198	129975.9566
199	129910.7255
200	129868.0393
201	129724.4408
202	129679.2184
203	129645.1311
204	129532.1314
205	129483.0206
206	129480.0426
207	129421.462
208	129363.6359
209	129322.5678
210	129221.4945
211	129165.318
212	129077.428
213	129021.245
214	128941.4899
215	128897.3521
216	128826.7257
217	128766.5071
218	128697.9393
219	128641.4083
220	128554.4555
221	128473.7086
222	128472.8578
223	128405.3148
224	128366.0768
225	128314.9088
226	128246.2666
227	128155.3295
228	128072.7197
229	128061.6533
230	128017.219
231	127963.7417
232	127935.165
233	127873.5057
234	127807.1788
235	127764.9421
236	127657.785
237	127588.8129
238	127554.6733
239	127488.4724
240	127451.4632
241	127432.3202
242	127362.1151
243	127275.06
244	127248.3223
245	127206.5486
246	127202.5395
247	127201.8793
248	127165.2528
249	127125.3151
250	127092.1672
251	127036.7265
252	127003.2689
253	126913.3953
254	126850.2342
255	126765.7038
256	126724.362
257	126676.559
258	126644.9756
259	126586.4004
260	126557.8294
261	126551.8431
262	126510.4474
263	126418.5752
264	126381.8458
265	126326.8524
266	126324.332
267	126267.3735
268	126222.9286
269	126222.8886
270	126221.318
271	126201.1392
272	126168.6465
273	126111.5446
274	126069.9132
275	125975.039
276	125925.7
277	125904.9269
278	125891.002
279	125875.8259
280	125832.3744
281	125774.41
282	125755.5859
283	125707.8393
284	125670.1551
285	125613.41
286	125580.4246
287	125569.6023
288	125537.4443
289	125500.5186
290	125486.401
291	125455.8055
292	125414.7575
293	125405.9549
294	125384.0594
295	125340.3562
296	125305.2129
297	125305.1565
298	125223.3677
299	125223.3518
