iter	Passed	Remaining
0	400	119620
1	754	112402
2	1075	106439
3	1554	115038
4	1735	102378
5	2063	101093
6	2437	102008
7	2874	104924
8	3151	101903
9	3480	100946
10	3851	101183
11	4047	97143
12	4428	97765
13	4885	99806
14	5447	103496
15	5810	103132
16	6194	103128
17	6565	102857
18	6864	101515
19	7104	99461
20	7539	100165
21	7893	99748
22	8346	100521
23	8926	102658
24	9227	101497
25	9537	100511
26	9764	98732
27	10300	100059
28	10687	99873
29	11355	102200
30	11778	102209
31	11971	100261
32	12322	99700
33	12773	99937
34	13151	99578
35	13615	99848
36	14176	100767
37	15201	104809
38	15845	106039
39	16369	106401
40	16990	107327
41	17600	108117
42	18048	107873
43	18742	109048
44	19359	109701
45	20114	111068
46	20729	111587
47	21477	112758
48	22182	113627
49	22701	113509
50	23411	114304
51	24186	115352
52	25069	116834
53	25688	117027
54	26539	118222
55	27056	117887
56	27562	117502
57	28615	119396
58	29688	121270
59	30590	122363
60	31613	123862
61	32296	123978
62	33065	124388
63	33683	124207
64	34115	123339
65	34624	122760
66	35298	122754
67	35809	122173
68	36354	121708
69	36976	121494
70	37505	120968
71	38141	120780
72	38740	120468
73	39138	119531
74	39579	118738
75	40039	118009
76	40555	117452
77	41185	117220
78	41682	116605
79	42532	116965
80	43246	116924
81	44178	117450
82	44996	117641
83	45705	117528
84	46341	117215
85	47133	117286
86	47767	116947
87	48451	116723
88	49012	116197
89	49456	115397
90	50058	114970
91	50712	114655
92	51206	113975
93	51704	113309
94	52304	112867
95	52977	112577
96	53519	112004
97	54113	111539
98	54564	110782
99	55072	110144
100	55587	109523
101	56047	108797
102	56609	108272
103	56981	107388
104	57325	106461
105	57816	105814
106	58150	104888
107	58637	104243
108	58973	103339
109	59385	102575
110	59782	101791
111	60255	101143
112	60598	100281
113	60913	99385
114	61287	98593
115	61648	97787
116	61983	96948
117	62244	96004
118	62556	95148
119	62947	94420
120	63358	93729
121	63709	92953
122	64030	92141
123	64387	91388
124	64752	90652
125	65204	90044
126	65520	89252
127	66070	88781
128	66363	87970
129	66649	87157
130	66982	86412
131	67301	85656
132	67548	84815
133	68002	84242
134	68458	83671
135	68785	82947
136	69022	82121
137	69450	81529
138	69924	80991
139	70252	80288
140	70555	79562
141	70913	78903
142	71202	78173
143	71517	77477
144	71851	76806
145	72140	76093
146	72484	75443
147	72778	74745
148	73095	74076
149	73527	73527
150	74034	73053
151	74596	72633
152	75130	72183
153	75693	71761
154	76130	71218
155	76486	70602
156	77033	70164
157	77308	69479
158	77648	68858
159	78078	68318
160	78505	67778
161	78844	67163
162	79196	66563
163	79487	65916
164	79989	65446
165	80401	64902
166	80765	64322
167	81058	63688
168	81353	63061
169	81667	62451
170	81923	61802
171	82175	61154
172	82538	60591
173	82848	59993
174	83202	59430
175	83453	58797
176	83734	58188
177	84072	57622
178	84384	57041
179	84781	56520
180	85242	56043
181	85594	55495
182	85873	54902
183	86151	54313
184	86471	53752
185	86813	53208
186	87092	52627
187	87484	52118
188	87829	51582
189	88313	51128
190	88680	50608
191	89033	50081
192	89312	49515
193	89613	48963
194	90057	48492
195	90472	48005
196	90746	47445
197	91332	47049
198	91901	46643
199	92618	46309
200	93129	45869
201	93737	45476
202	94250	45036
203	94822	44622
204	95372	44197
205	95913	43766
206	96296	43263
207	96796	42813
208	97315	42371
209	97962	41983
210	98535	41562
211	99163	41162
212	99653	40703
213	100124	40237
214	100653	39793
215	101185	39349
216	101768	38925
217	102200	38442
218	102679	37977
219	103341	37578
220	103834	37117
221	104381	36674
222	104494	36080
223	105025	35633
224	105611	35203
225	106339	34819
226	106707	34315
227	107205	33854
228	107791	33420
229	108175	32922
230	108806	32500
231	109241	32019
232	109817	31578
233	110232	31091
234	110615	30595
235	111187	30152
236	111673	29685
237	112110	29205
238	112674	28758
239	113269	28317
240	113747	27846
241	114255	27383
242	114891	26949
243	115425	26491
244	115931	26025
245	116292	25527
246	116497	24997
247	116642	24457
248	116982	23960
249	117542	23508
250	117993	23034
251	118525	22576
252	118821	22073
253	119084	21566
254	119409	21072
255	119715	20576
256	120051	20086
257	120558	19625
258	121060	19163
259	121518	18695
260	121990	18228
261	122545	17773
262	123029	17308
263	123389	16825
264	123670	16333
265	123931	15840
266	124046	15331
267	124332	14845
268	124844	14387
269	124911	13879
270	125073	13384
271	125496	12918
272	126023	12463
273	126363	11990
274	126870	11533
275	127324	11071
276	127699	10603
277	128002	10129
278	128281	9655
279	128575	9183
280	128804	8709
281	129125	8242
282	129321	7768
283	129630	7303
284	129925	6838
285	130371	6381
286	130986	5933
287	131407	5475
288	131820	5017
289	132384	4564
290	132852	4108
291	133124	3647
292	133506	3189
293	133812	2730
294	134198	2274
295	134617	1819
296	135081	1364
297	135183	907
298	135579	453
299	135678	0
