,ID,value,date,zip_code,type,commercial,lease,name_number,year,month,postcode_area
0,{8F1B26BD-68F7-53DB-E053-6C04A8C03649},219000,2019-07-11 00:00,SK8 3SG,S,N,F,59,2019,7,SK8
1,{8F1B26BD-68FB-53DB-E053-6C04A8C03649},290000,2019-05-31 00:00,SK8 3HE,S,N,F,27,2019,5,SK8
2,{8F1B26BD-6900-53DB-E053-6C04A8C03649},164000,2019-06-28 00:00,SK7 5NU,T,N,L,32,2019,6,SK7
3,{8F1B26BD-6906-53DB-E053-6C04A8C03649},247000,2019-06-06 00:00,SK12 1HU,D,N,F,2,2019,6,SK12
4,{8F1B26BD-6907-53DB-E053-6C04A8C03649},615000,2019-06-14 00:00,WA13 9DL,D,N,L,1,2019,6,WA13
5,{8CAC1318-5AE7-0253-E053-6B04A8C08E51},388000,2019-05-17 00:00,M21 9JZ,S,N,F,11,2019,5,M21
6,{8A78B2B0-5044-5CB0-E053-6B04A8C0F504},269000,2019-04-12 00:00,SK15 2RE,D,N,L,8,2019,4,SK15
7,{8A78B2B0-504E-5CB0-E053-6B04A8C0F504},1225000,2019-05-01 00:00,WA16 6HQ,O,N,F,98,2019,5,WA16
8,{8A78B2B0-5059-5CB0-E053-6B04A8C0F504},250000,2019-04-16 00:00,SK12 1RD,S,N,F,1,2019,4,SK12
9,{8A78B2B0-505E-5CB0-E053-6B04A8C0F504},270000,2019-05-03 00:00,SK12 1TL,D,N,F,29,2019,5,SK12
10,{8A78B2B0-505F-5CB0-E053-6B04A8C0F504},730000,2019-02-28 00:00,WA14 3SB,S,N,F,PEMBROKE HOUSE,2019,2,WA14
11,{8CAC1318-5AF1-0253-E053-6B04A8C08E51},762500,2019-05-31 00:00,M21 8UP,S,N,F,29,2019,5,M21
12,{8F1B26BD-6553-53DB-E053-6C04A8C03649},190000,2019-07-05 00:00,SK1 4DE,S,N,F,92B,2019,7,SK1
13,{8F1B26BD-6554-53DB-E053-6C04A8C03649},878000,2019-06-15 00:00,SK12 2JR,D,N,F,60,2019,6,SK12
14,{8A78B2B0-507F-5CB0-E053-6B04A8C0F504},220000,2019-01-18 00:00,SK12 1AA,O,N,F,22,2019,1,SK12
15,{8F1B26BD-6564-53DB-E053-6C04A8C03649},327000,2019-06-26 00:00,WA13 0EF,S,N,L,10,2019,6,WA13
16,{8F1B26BD-6569-53DB-E053-6C04A8C03649},420000,2019-07-12 00:00,WA16 6HY,T,N,L,17,2019,7,WA16
17,{8F1B26BD-673C-53DB-E053-6C04A8C03649},132000,2019-06-19 00:00,SK1 4DL,T,N,L,24,2019,6,SK1
18,{8CAC1318-5B2B-0253-E053-6B04A8C08E51},255000,2019-05-29 00:00,M21 9QA,S,N,F,1,2019,5,M21
19,{8A78B2B0-5093-5CB0-E053-6B04A8C0F504},4010000,2019-04-30 00:00,WA16 0NL,O,N,F,CANUTE COURT,2019,4,WA16
20,{8A78B2B0-509B-5CB0-E053-6B04A8C0F504},387000,2019-05-13 00:00,WA13 9PR,D,N,F,78,2019,5,WA13
21,{8A78B2B0-509E-5CB0-E053-6B04A8C0F504},1512500,2019-05-03 00:00,SK8 6QS,O,N,F,UNIT E10,2019,5,SK8
22,{8A78B2B0-50A6-5CB0-E053-6B04A8C0F504},17000000,2019-05-07 00:00,WA16 7JL,O,N,F,ILFORD IMAGING SITE,2019,5,WA16
23,{8F1B26BD-657F-53DB-E053-6C04A8C03649},240000,2019-06-06 00:00,SK9 2GA,T,N,F,78,2019,6,SK9
24,{8F1B26BD-6588-53DB-E053-6C04A8C03649},175000,2019-06-28 00:00,SK9 3RJ,S,N,F,4,2019,6,SK9
25,{8F1B26BD-658B-53DB-E053-6C04A8C03649},145000,2019-07-09 00:00,SK3 9NT,S,N,F,22,2019,7,SK3
26,{8F1B26BD-658C-53DB-E053-6C04A8C03649},462500,2019-07-19 00:00,SK9 3AN,D,N,F,14,2019,7,SK9
27,{8F1B26BD-6757-53DB-E053-6C04A8C03649},290000,2019-06-07 00:00,WA13 9LG,S,N,F,5,2019,6,WA13
28,{8F1B26BD-6590-53DB-E053-6C04A8C03649},285000,2019-06-28 00:00,SK12 2RJ,S,N,F,10,2019,6,SK12
29,{8F1B26BD-6591-53DB-E053-6C04A8C03649},136500,2019-06-19 00:00,SK9 3UA,F,N,L,WITTENHAM HOUSE,2019,6,SK9
