iter	RMSE
0	331918.5271
1	327347.3445
2	323058.6557
3	318865.009
4	314689.064
5	310764.5305
6	307012.6289
7	303287.9315
8	299969.5374
9	296453.9316
10	293250.5543
11	290071.9675
12	287181.5222
13	284524.974
14	281431.6921
15	278412.4989
16	275672.5966
17	272990.9511
18	270396.6729
19	267903.86
20	265491.884
21	263277.8213
22	261227.0525
23	259081.2478
24	257050.6599
25	255140.2997
26	253278.3033
27	251413.6884
28	249590.9073
29	247826.1568
30	246128.0456
31	244591.3186
32	243053.1734
33	241883.8686
34	240425.2081
35	239106.4729
36	237789.9306
37	236455.2465
38	235266.191
39	234035.359
40	232973.8736
41	231853.6596
42	230739.4027
43	229651.9957
44	228592.6721
45	227603.6255
46	226656.8208
47	225602.5422
48	224780.4891
49	223940.2719
50	222977.5828
51	222229.4826
52	221439.9179
53	220687.41
54	219982.0362
55	219243.4515
56	218537.4118
57	217927.4746
58	217330.8895
59	216615.8004
60	216014.2229
61	215312.071
62	214787.3052
63	214179.5973
64	213627.3052
65	213051.0696
66	212612.6874
67	212162.8932
68	211655.453
69	211208.9658
70	210717.9947
71	210210.5949
72	209611.7725
73	209127.4908
74	208732.4955
75	208357.5703
76	207953.9718
77	207546.7452
78	207205.9397
79	206854.7278
80	206529.6819
81	206084.4869
82	205690.7317
83	205292.8774
84	205000.4056
85	204647.4297
86	204319.0354
87	203981.628
88	203614.8422
89	203199.029
90	202906.3775
91	202541.3223
92	202139.7092
93	201764.5533
94	201553.3535
95	201203.614
96	200863.5993
97	200605.3003
98	200256.988
99	200029.8395
100	199749.3598
101	199557.0771
102	199382.6272
103	199123.4278
104	198926.8896
105	198728.9228
106	198348.0859
107	198159.9584
108	198008.0103
109	197788.931
110	197515.5341
111	197229.6621
112	197063.4967
113	196893.0834
114	196653.0094
115	196433.781
116	196228.1542
117	196074.7585
118	195885.02
119	195700.2844
120	195566.3756
121	195345.8359
122	195037.4089
123	194828.6794
124	194524.477
125	194333.0817
126	194166.5951
127	193978.271
128	193807.4576
129	193619.9637
130	193498.682
131	193351.7628
132	193079.6707
133	192900.8216
134	192745.4281
135	192540.7663
136	192404.0554
137	192243.1346
138	192106.8082
139	191896.2501
140	191765.0747
141	191558.0165
142	191291.1157
143	191287.0403
144	191113.9786
145	191001.3983
146	190839.6686
147	190649.8925
148	190493.2684
149	190365.054
150	190176.5227
151	190028.7132
152	189837.4094
153	189729.9561
154	189726.4144
155	189614.9314
156	189406.8838
157	189256.9461
158	189071.2548
159	189067.7607
160	188937.1414
161	188755.4417
162	188624.8533
163	188445.1416
164	188301.6855
165	188143.5754
166	188016.3995
167	187961.3882
168	187827.4394
169	187696.604
170	187585.542
171	187478.0514
172	187382.9097
173	187254.2197
174	187142.5891
175	186975.2563
176	186828.6722
177	186740.531
178	186649.067
179	186484.4288
180	186370.8559
181	186256.1853
182	186161.6367
183	185994.0794
184	185856.0164
185	185764.7604
186	185720.1388
187	185587.8042
188	185410.4396
189	185306.4304
190	185304.096
191	185143.1799
192	185021.4551
193	184918.8718
194	184787.2183
195	184784.94
196	184782.7956
197	184682.2657
198	184586.3435
199	184433.6891
200	184324.3641
201	184130.6124
202	184038.0247
203	183937.3029
204	183920.1259
205	183792.2568
206	183670.0795
207	183590.261
208	183495.547
209	183446.6453
210	183385.7896
211	183276.5131
212	183178.2284
213	183102.1653
214	183002.7986
215	182885.361
216	182788.0466
217	182740.4413
218	182738.308
219	182738.2765
220	182648.3506
221	182561.3772
222	182482.7571
223	182402.6547
224	182290.2114
225	182170.138
226	182107.4822
227	182020.6653
228	181974.2952
229	181863.3075
230	181807.6618
231	181732.4253
232	181697.0363
233	181611.4221
234	181611.4105
235	181566.3721
236	181494.7207
237	181494.6638
238	181376.337
239	181375.1354
240	181318.488
241	181317.426
242	181317.4197
243	181296.7377
244	181295.7905
245	181209.9504
246	181209.8952
247	181116.0646
248	181059.4681
249	180956.957
250	180956.9469
251	180908.072
252	180810.9823
253	180730.6657
254	180657.9042
255	180559.2669
256	180472.7475
257	180428.4267
258	180332.8068
259	180332.7605
260	180309.0006
261	180308.956
262	180226.5891
263	180136.747
264	180047.6808
265	179932.0613
266	179814.7172
267	179813.7494
268	179729.8699
269	179729.8245
270	179647.995
271	179547.814
272	179547.5183
273	179468.7821
274	179468.3666
275	179369.0537
276	179368.2621
277	179354.6831
278	179278.9973
279	179214.6973
280	179162.2398
281	179067.2174
282	179022.1018
283	178887.7419
284	178810.2623
285	178810.2234
286	178726.1813
287	178726.133
288	178697.8867
289	178631.5591
290	178631.5036
291	178627.4278
292	178532.6674
293	178421.5287
294	178421.4877
295	178384.8497
296	178311.9845
297	178263.1886
298	178218.4648
299	178137.1701
