iter	Passed	Remaining
0	238	71333
1	399	59463
2	489	48411
3	585	43345
4	779	45997
5	978	47922
6	1117	46759
7	1283	46846
8	1380	44648
9	1534	44508
10	1600	42053
11	1670	40091
12	1763	38932
13	1914	39116
14	2011	38220
15	2168	38486
16	2262	37666
17	2443	38287
18	2529	37410
19	2673	37429
20	2835	37668
21	2914	36825
22	3009	36248
23	3112	35788
24	3267	35940
25	3438	36241
26	3566	36066
27	3658	35539
28	3814	35648
29	3974	35772
30	4127	35817
31	4215	35306
32	4322	34974
33	4403	34454
34	4493	34021
35	4647	34082
36	4724	33580
37	4873	33599
38	4954	33160
39	5039	32754
40	5190	32789
41	5283	32457
42	5487	32799
43	5579	32460
44	5712	32369
45	5829	32191
46	5957	32068
47	6205	32581
48	6322	32388
49	6460	32302
50	6621	32328
51	6805	32455
52	6949	32387
53	7080	32253
54	7274	32403
55	7511	32727
56	7676	32725
57	7785	32482
58	7930	32395
59	8125	32502
60	8261	32368
61	8584	32951
62	8766	32978
63	9023	33275
64	9285	33569
65	9399	33324
66	9616	33441
67	9788	33397
68	9929	33241
69	10133	33295
70	10316	33275
71	10511	33286
72	10726	33355
73	11015	33641
74	11249	33747
75	11403	33609
76	11547	33442
77	11764	33484
78	11913	33328
79	12140	33385
80	12291	33231
81	12496	33221
82	12711	33232
83	12940	33275
84	13128	33208
85	13244	32958
86	13437	32898
87	13599	32762
88	13752	32604
89	13961	32576
90	14137	32469
91	14339	32420
92	14481	32233
93	14677	32166
94	14848	32042
95	15062	32007
96	15257	31930
97	15463	31874
98	15715	31906
99	16048	32097
100	16396	32306
101	16609	32241
102	16846	32221
103	17266	32541
104	17574	32639
105	17762	32509
106	18111	32668
107	18323	32575
108	18575	32548
109	18826	32517
110	19051	32439
111	19278	32360
112	19459	32203
113	19672	32097
114	19904	32019
115	20044	31793
116	20176	31558
117	20323	31347
118	20459	31118
119	20650	30975
120	20919	30946
121	21237	30985
122	21412	30813
123	21599	30658
124	21724	30413
125	21946	30306
126	22294	30370
127	22582	30345
128	22849	30288
129	23009	30089
130	23195	29924
131	23310	29667
132	23479	29481
133	23613	29251
134	23845	29144
135	23970	28905
136	24096	28670
137	24364	28602
138	24681	28587
139	25164	28759
140	25534	28794
141	26070	29008
142	26308	28884
143	26396	28596
144	26803	28652
145	27364	28863
146	27884	29022
147	28335	29101
148	28643	29028
149	28966	28966
150	29418	29028
151	29777	28994
152	30047	28868
153	30358	28781
154	30459	28494
155	30816	28445
156	31316	28523
157	31599	28399
158	31910	28297
159	32074	28065
160	32448	28014
161	33035	28141
162	33454	28118
163	33947	28151
164	34278	28046
165	34642	27964
166	34954	27837
167	35521	27910
168	36016	27917
169	36425	27854
170	36887	27827
171	37216	27695
172	37553	27568
173	38002	27519
174	38477	27483
175	38822	27352
176	39119	27184
177	39348	26969
178	39610	26776
179	39926	26617
180	40204	26433
181	40502	26260
182	40739	26046
183	40986	25839
184	41267	25653
185	41405	25377
186	41679	25185
187	41877	24948
188	42083	24715
189	42305	24492
190	42382	24186
191	42657	23994
192	42811	23734
193	43082	23539
194	43294	23312
195	43342	22997
196	43371	22676
197	43729	22527
198	44168	22417
199	44403	22201
200	44675	22004
201	45086	21873
202	45440	21712
203	45817	21561
204	46161	21391
205	46578	21254
206	46881	21062
207	47213	20883
208	47463	20666
209	47773	20474
210	47994	20244
211	48161	19991
212	48342	19745
213	48576	19521
214	48732	19266
215	48931	19029
216	49137	18794
217	49315	18549
218	49372	18261
219	49404	17965
220	49531	17705
221	49748	17479
222	49948	17246
223	50117	17003
224	50291	16763
225	50475	16527
226	50716	16309
227	50967	16094
228	51180	15868
229	51384	15638
230	51539	15394
231	51714	15157
232	51904	14925
233	52099	14694
234	52186	14434
235	52486	14233
236	52674	14002
237	52702	13729
238	52870	13494
239	52911	13227
240	53145	13010
241	53196	12749
242	53218	12483
243	53397	12255
244	53464	12002
245	53664	11779
246	53697	11522
247	53894	11300
248	54112	11083
249	54311	10862
250	54346	10609
251	54587	10397
252	54724	10166
253	54874	9937
254	55052	9715
255	55212	9489
256	55417	9272
257	55649	9059
258	55957	8858
259	56004	8616
260	56269	8408
261	56289	8164
262	56496	7948
263	56690	7730
264	56891	7513
265	57042	7291
266	57233	7073
267	57296	6841
268	57581	6635
269	57607	6400
270	57827	6188
271	57975	5968
272	58078	5744
273	58226	5525
274	58346	5304
275	58582	5094
276	58643	4869
277	58879	4659
278	59071	4446
279	59292	4235
280	59529	4025
281	59749	3813
282	59935	3600
283	60190	3390
284	60334	3175
285	60357	2954
286	60524	2741
287	60558	2523
288	60803	2314
289	61094	2106
290	61131	1890
291	61276	1678
292	61493	1469
293	61736	1259
294	61781	1047
295	62004	837
296	62280	629
297	62506	419
298	62669	209
299	62906	0
